,utt,intent,index
0,i need to get my paycheck direct deposited to my chase account,direct_deposit,0
1,please help me set up direct deposit,direct_deposit,0
2,make it so my paycheck goes directly into my savings account,direct_deposit,0
3,"if i would like to set up direct deposit, how do i do it",direct_deposit,0
4,i need to set up a direct deposit for my paycheck,direct_deposit,0
5,what's restricted in my carry-on with united,carry_on,1
6,"if i take a flight on pan am to denver, how many carry ons are included",carry_on,1
7,what are the carry on rules for united,carry_on,1
8,what can't i carry-on to delta,carry_on,1
9,what should i know about the carry on policy for american,carry_on,1
10,make sure to set yourself to whisper mode before i go to the movie,whisper_mode,2
11,let's start whispering,whisper_mode,2
12,go into whisper mode now please,whisper_mode,2
13,i want your setting adjusted to whisper voice now,whisper_mode,2
14,i want you to use whisper voice now,whisper_mode,2
15,send a text message,text,3
16,start a new text to maureen and tell her i go mom's christmas present,text,3
17,create a new text,text,3
18,please send a text,text,3
19,text bill and tell him i'll be 30 minutes late,text,3
20,what do i need to do to make blackberry pie,recipe,4
21,please show me a recipe for chili,recipe,4
22,i need the best recipe for mashed potatoes,recipe,4
23,what do you need to do to make sushi,recipe,4
24,how do i make pumpkin pie,recipe,4
25,activate my furnace please,smart_home,5
26,can you look who is at the door,smart_home,5
27,remember to lock the doors,smart_home,5
28,please set the temperature to 70,smart_home,5
29,can put fan on,smart_home,5
30,do you happen to be employed by me,who_do_you_work_for,6
31,what organization do you work for,who_do_you_work_for,6
32,do you work for me or is that wrong,who_do_you_work_for,6
33,who do you job for,who_do_you_work_for,6
34,who directs your labor,who_do_you_work_for,6
35,what is my citigroup card's rewards balance,rewards_balance,7
36,how many points did i get on my visa card,rewards_balance,7
37,what is my points total for my mastercard,rewards_balance,7
38,is there a better way to check my visa rewards card balance,rewards_balance,7
39,i need to find out the rewards points i have left on my american express card,rewards_balance,7
40,can you get me a table for 1 at the vega at 1pm,restaurant_reservation,8
41,make me a reservation for 5 at coral for 10 pm immediately,restaurant_reservation,8
42,is it possible to get a table for 4 at the village inn around 10am,restaurant_reservation,8
43,please book a reservation for 8 pm at red robin under the name kevin,restaurant_reservation,8
44,i need you to reserve a table for 6:00 pm for three at devon's seafood,restaurant_reservation,8
45,i'm traveling to denmark soon and want to inform my bank,travel_notification,9
46,how do i inform my bank i'm going to paris,travel_notification,9
47,"i'm going to paris soon and want to let my bank know, how do i do that",travel_notification,9
48,how can i let my bank know i'm going to denmark,travel_notification,9
49,i'm travelling to boston soon and want to inform my bank,travel_notification,9
50,will you add what i'm listening to to my road trip playlist,update_playlist,10
51,i would like to add you say by lauren daigle to my playlist,update_playlist,10
52,"make this song part of the ""kids"" playlist",update_playlist,10
53,this song should be add this on my rock playlist,update_playlist,10
54,add walk by pantera to my playlist,update_playlist,10
55,go ahead and your volume,change_volume,11
56,raise the volume to 4 please,change_volume,11
57,make the speakers louder,change_volume,11
58,can you turn this down,change_volume,11
59,turn your voice box down,change_volume,11
60,display the routing number for account huntington,routing,12
61,what is my routing number,routing,12
62,tell me my bank of america routing number,routing,12
63,i must learn my routing number,routing,12
64,"ai, what is the routing number for my citibank savings account",routing,12
65,what's the non-city mpg for this car,mpg,13
66,how much gas does this use in the city,mpg,13
67,how many miles per gallon do i get,mpg,13
68,retrieve my current mpg on my car,mpg,13
69,what's the fuel economy of my car,mpg,13
70,how much do i have to pay for my cable bill,bill_balance,14
71,what's the cost of my dte bill plus my electricity bill,bill_balance,14
72,what's my mortgage payment going to be this month,bill_balance,14
73,how much are utilities,bill_balance,14
74,how much is my cable bill for,bill_balance,14
75,"think about if you could only say one or the other, which animal do you see yourself choosing, cats or dogs",do_you_have_pets,15
76,i'd like to learn more about your pets,do_you_have_pets,15
77,"what sort of person are you, a cat or dog person",do_you_have_pets,15
78,i am curious about whether you have pets,do_you_have_pets,15
79,would you say that you are now a pet owner,do_you_have_pets,15
80,how long to i bake the brownies,cook_time,16
81,how long should i cook a steak for,cook_time,16
82,how long should i cook chicken thighs,cook_time,16
83,how long am i supposed to cook pork loin,cook_time,16
84,how long to cook a frozen pizza,cook_time,16
85,what is the current song,what_song,17
86,who sings this song,what_song,17
87,what band is this,what_song,17
88,who is this song that's on the stereo,what_song,17
89,can you tell me the mane of the song playing,what_song,17
90,can you help me get a new credit card,new_card,18
91,may i apply for a new credit card,new_card,18
92,how to apply for platinum card,new_card,18
93,i gotta apply for a new credit card,new_card,18
94,what if you need to obtain a new credit card,new_card,18
95,add mop bathroom to my to do list,todo_list_update,19
96,"erase get a haircut from my to do list, please",todo_list_update,19
97,"on my to do list, add exercising",todo_list_update,19
98,cross volunteering off my todo list,todo_list_update,19
99,add laundry to my list of shit to do,todo_list_update,19
100,is traffic bad on the parkway,traffic,20
101,are there alot of cars on the road before the stadium,traffic,20
102,what is the traffic like on the way to work,traffic,20
103,what is the traffic like on the way to town,traffic,20
104,how clogged are the streets before the stadium,traffic,20
105,please go to the song after this one,next_song,21
106,go to the next tune,next_song,21
107,skip and play next song,next_song,21
108,advance to the next song,next_song,21
109,skip this song and play the next one,next_song,21
110,could you tell me where did you originate,where_are_you_from,22
111,where do you hail from,where_are_you_from,22
112,"up until now, what place was your home base",where_are_you_from,22
113,where did you live before here,where_are_you_from,22
114,from whence do you hail,where_are_you_from,22
115,what date should i get my tires changed,tire_change,23
116,how long until i should have my tires replaced,tire_change,23
117,when do my tires need some changing,tire_change,23
118,do i need to change any of my tires,tire_change,23
119,would you tell me when i should replace my tires next if i last replaced them on june 2,tire_change,23
120,when should i pay my bill by,bill_due,24
121,when's the next time i have to pay the insurance,bill_due,24
122,when does the car payment come due,bill_due,24
123,what day is the z bill due,bill_due,24
124,i need the new due date for my pgw gas bill,bill_due,24
125,"wake up, ai",greeting,25
126,"hello, friend",greeting,25
127,how's it going with you,greeting,25
128,how is your day,greeting,25
129,hey how's it hanging,greeting,25
130,help me calculate my federal tax bill,taxes,26
131,what is the tax amount,taxes,26
132,what are my state taxes looking like,taxes,26
133,how much do i owe for state taxes,taxes,26
134,can you tell me my income tax,taxes,26
135,i'm having trouble finding my luggage i was on delta flight ab123 out of new york,lost_luggage,27
136,i need to find my luggage,lost_luggage,27
137,do you know whom i should contact since my luggage did not arrive,lost_luggage,27
138,who do i go to to find lost luggage,lost_luggage,27
139,can you tell me what to do as i am in the airport and have been for some time and there is still no sign of my suitcase,lost_luggage,27
140,do a british male accent only,change_accent,28
141,switch over to the male voice mode,change_accent,28
142,please set to female voice,change_accent,28
143,speak in a different accent,change_accent,28
144,i want to change what accent you use,change_accent,28
145,what do i have left to do on my to-do list,todo_list,29
146,can you tell me the tasks on my to-do list,todo_list,29
147,i wonder what my to-do list looks like for today,todo_list,29
148,can you look to see whether feeding the fish is on my to do list,todo_list,29
149,what items do i need to do,todo_list,29
150,look up the date of my last oil change,last_maintenance,30
151,do you remember when i last changed my oil,last_maintenance,30
152,please tell me the last time i took my car to the shop,last_maintenance,30
153,what was the last time i had my car at the dealer for repairs,last_maintenance,30
154,how long's it been since i had my car serviced,last_maintenance,30
155,place a call to bill now,make_call,31
156,call mymother,make_call,31
157,can you call a taxi,make_call,31
158,call someone,make_call,31
159,dial steven,make_call,31
160,can i use any fuel in my car,gas_type,32
161,tell me the fuel my car takes,gas_type,32
162,what kind of gas does my car use,gas_type,32
163,is there a certain type of gas i need to use for this car,gas_type,32
164,i wish to know the gas i need to fill this car up with,gas_type,32
165,scrap that dinner reservation,cancel_reservation,33
166,go ahead and cancel the reservation i made for 6:00 pm at parc,cancel_reservation,33
167,please cancel my reservation,cancel_reservation,33
168,please cancel the table for two at burger king,cancel_reservation,33
169,you can cancel my reservation,cancel_reservation,33
170,i'm having trouble scheduling a meeting,schedule_meeting,34
171,i'm going to need a meeting room on 9am on tuesday,schedule_meeting,34
172,i want you to schedule a meeting with carrie and lisa,schedule_meeting,34
173,"can you schedule a meeting with steve at the office, please",schedule_meeting,34
174,what is your availability for conference rooms between one and two today,schedule_meeting,34
175,who has seen my cellphone,find_phone,35
176,please help me find my cellphone,find_phone,35
177,i don't know where i put my phone,find_phone,35
178,i need help figuring out where my phone is,find_phone,35
179,please help me find my phone,find_phone,35
180,where do i go to get new insurance,insurance_change,36
181,what rental insurance policy do you recommend,insurance_change,36
182,i would like you to help me get on another united healthcare insurance plan,insurance_change,36
183,how to create a new aaa insurance plan,insurance_change,36
184,i am interested in acquiring new insurance,insurance_change,36
185,what are the best ways to build my credit score,improve_credit_score,37
186,give me a recommendation to improve my credit score,improve_credit_score,37
187,would being late hurt my credit,improve_credit_score,37
188,how to keep credit score high,improve_credit_score,37
189,is it true a hard pull hurts my credit score,improve_credit_score,37
190,where should i travel if i want to go to a nice beach,travel_suggestion,38
191,what are some things i can do in portland,travel_suggestion,38
192,where should i travel to next,travel_suggestion,38
193,where should i spend my time off,travel_suggestion,38
194,are there any interesting activities to do in austin,travel_suggestion,38
195,i want to roll a dice,roll_dice,39
196,i need a 10 sided die rolled,roll_dice,39
197,"roll die, 6 sided",roll_dice,39
198,can you roll dice,roll_dice,39
199,roll a pair of eight sided dice,roll_dice,39
200,i didn't hear say it again please,repeat,40
201,"i didn't hear what you just said, can you repeat it",repeat,40
202,repeat the question,repeat,40
203,"sorry, i didn't hear you, can you say that gain",repeat,40
204,i did not understand say it again,repeat,40
205,i need for you to play my maroon 5 playlist,play_music,41
206,"put my music on, please",play_music,41
207,start up some music,play_music,41
208,"that baby shark, doo doo, song, i want to hear it",play_music,41
209,resume my death metal playlist,play_music,41
210,are you a real person or an ai,are_you_a_bot,42
211,are you human or a bot,are_you_a_bot,42
212,are you an automated assistance,are_you_a_bot,42
213,"are you ai, or a person",are_you_a_bot,42
214,tell me if you are a real person or an ai,are_you_a_bot,42
215,connect to my phone for me,sync_device,43
216,you can unsync from my phone now,sync_device,43
217,please connect with my smart phone,sync_device,43
218,pair with my smart phone,sync_device,43
219,get connected to my phone,sync_device,43
220,on the 26th what is on the table for my calendar,calendar,44
221,i want my schedule for march 2,calendar,44
222,what do i have scheduled for february 28th,calendar,44
223,read me my schedule for march 2,calendar,44
224,"the 21st, what is on my calendar",calendar,44
225,what are the health benefits i have,insurance,45
226,what's my current health care plan,insurance,45
227,what are my insurance perks,insurance,45
228,"what type of insurance plan am i enrolled in, please",insurance,45
229,do you know the health plan i'm on,insurance,45
230,i am going to germany soon do i need a visa,international_visa,46
231,do i need a visa to travel to mexico,international_visa,46
232,i want to see paris will i need an international visa,international_visa,46
233,do i need to get a visa for russia,international_visa,46
234,i'm going to jamaica next week; am i needing a visa,international_visa,46
235,i want my bank account frozen,freeze_account,47
236,dont allow any action on my account,freeze_account,47
237,i need a block put on my chase account right away,freeze_account,47
238,i need a stop placed on my bank account please,freeze_account,47
239,"i need you to place a stop on my bank account, thank you",freeze_account,47
240,does my shopping list include corn,shopping_list,48
241,tell me what i put on the shopping list,shopping_list,48
242,tell me what i can find on the shopping list,shopping_list,48
243,what do i need to go shopping for,shopping_list,48
244,what did i write down on my shopping list this time,shopping_list,48
245,at what point should the oil be changed again,oil_change_when,49
246,when do i need my oil changed,oil_change_when,49
247,how long before i neet to get my oil changed,oil_change_when,49
248,when do i need you change my oil,oil_change_when,49
249,when do you think i should change my oil,oil_change_when,49
250,how do i share my location with noel,share_location,50
251,tell base camp my gps coordinates,share_location,50
252,give the boys my location please,share_location,50
253,trey needs my current location,share_location,50
254,share my location with my sister,share_location,50
255,what kind of questions can i ask you,what_can_i_ask_you,51
256,what kind of things can you answer,what_can_i_ask_you,51
257,what all can you do,what_can_i_ask_you,51
258,how can i use you,what_can_i_ask_you,51
259,what kinds of questions can i ask you,what_can_i_ask_you,51
260,do i need a socket converter if i'm going to be in russia,plug_type,52
261,will my plugs work in barcelona,plug_type,52
262,do i need a socket converter if i'm going to be in eithiopia,plug_type,52
263,should i bring my socket converter while traveling to england,plug_type,52
264,what kind of outlets do they use in z,plug_type,52
265,tell me if i need any more vaccines if i go there,vaccines,53
266,tell me what vaccinations i need to get into france,vaccines,53
267,are there recommendations to get any specific shots before i travel to germany,vaccines,53
268,are there shots required before going to south africa,vaccines,53
269,is there a list of recommended shots to get before travelling to kenya,vaccines,53
270,what day is my next payday,payday,54
271,tell me when i received my last paycheck,payday,54
272,tell me when my next paycheck is set to arrive,payday,54
273,i need to know when i was paid last,payday,54
274,what day do i get paid next,payday,54
275,what is the status of my new credit card application,application_status,55
276,can you check if my application for a discovery card has been looked over yet,application_status,55
277,how will i know when my application for a credit card has been processed,application_status,55
278,tell me about my american express application; did it go through,application_status,55
279,tell me straight if it has been processed or not,application_status,55
280,what's the time period till our next day off,next_holiday,56
281,when will the day off be,next_holiday,56
282,i need to know when the next holiday will be,next_holiday,56
283,how many days until my next day off,next_holiday,56
284,when is the next day off,next_holiday,56
285,tell me something that'll make me laugh,tell_joke,57
286,show me something funny about food,tell_joke,57
287,tell me something funny about cats,tell_joke,57
288,what are some funny jokes,tell_joke,57
289,let me know something funny,tell_joke,57
290,can i use olive oil instead of butter,ingredient_substitution,58
291,is it ok to use brown sugar instead of powdered sugar,ingredient_substitution,58
292,are you able to sub white sugar for brown sugar,ingredient_substitution,58
293,can i swap sugar for salt,ingredient_substitution,58
294,would it be possible to replace the salt with baking soda,ingredient_substitution,58
295,can you change the date of the doctor's appointment event in my calendar from april 1 to april 3rd,calendar_update,59
296,go ahead and delete the doctor appointment i have scheduled for monday,calendar_update,59
297,add farm trip to my calendar for friday,calendar_update,59
298,delete my golf tournament event from tomrrow,calendar_update,59
299,add meeting with carla to my schedule for july 4,calendar_update,59
300,how many years do you have,how_old_are_you,60
301,you are how old,how_old_are_you,60
302,how long have you been around,how_old_are_you,60
303,how old are you again,how_old_are_you,60
304,when was your birth,how_old_are_you,60
305,assist me to know how to get to target by bus,directions,61
306,is there a tire repair place near the post office,directions,61
307,how would i get to city hall via bus,directions,61
308,i need to know directions to the nearest gas station,directions,61
309,what's the quickest way to a bank,directions,61
310,"is ""rescind"" a word of positive connotation",definition,62
311,what does tertiary mean,definition,62
312,can you tell me the definition of sucrose,definition,62
313,what is the definition of flange,definition,62
314,what is break a leg mean,definition,62
315,i want help rolling over my 401k,rollover_401k,63
316,i need help to roll over my 401k,rollover_401k,63
317,i just changed jobs and need help with my 401k rollover,rollover_401k,63
318,can you assist me rolling over a 401k for a new job,rollover_401k,63
319,what's up with my 401k and will it roll over,rollover_401k,63
320,how is my vacation request looking,pto_request_status,64
321,is walmart going to let me take the vacation time i asked for,pto_request_status,64
322,check on the status of my vacation request please,pto_request_status,64
323,i'm i okayed for vacation time,pto_request_status,64
324,have they authorized my vacation,pto_request_status,64
325,i wanna confirm my reservation for 2/20 at 8 pm,confirm_reservation,65
326,i'd like to confirm that i have a reservation at red robin for josh,confirm_reservation,65
327,will you check there is a reservation for laura at black pearl,confirm_reservation,65
328,does taco house have a reservation for jean,confirm_reservation,65
329,can you check that i have a reservation on february 28th for 3 in the afternoon,confirm_reservation,65
330,can you tell me the expiration date for my mastercard,expiration_date,66
331,please let me know when i need to renew my credit card,expiration_date,66
332,during what month will my card's expiration date fall on,expiration_date,66
333,how long is it until my credit card expires,expiration_date,66
334,when is my credit card going to expire,expiration_date,66
335,i want the calorie content for a banana,calories,67
336,how many calories are in vanilla ice cream,calories,67
337,are there a lot of calories in muffins,calories,67
338,how many calories are in a honey bun,calories,67
339,what's the expected calorie load of a peanut butter and jelly sandwich,calories,67
340,set an alarm for nine minutes from now,timer,68
341,i want a 10 minute timer,timer,68
342,set a ten second timer,timer,68
343,can you set a two hour timer,timer,68
344,set a timer for 35 minutes,timer,68
345,take $40 and transfer it to account a from b,transfer,69
346,can we wire some money over to the other account i have,transfer,69
347,i need ten dollars sent from b of a to washington mutual,transfer,69
348,take $40 from account a and transfer it to account b,transfer,69
349,transfer 100 dollars between checking and savings,transfer,69
350,could you make a flight reservation with air emirates from orlando to london,book_flight,70
351,get me a flight for tuesday on spiritcom to las vegas from chicago,book_flight,70
352,i need you to get me a flight booked from houston to miami on united airlines,book_flight,70
353,what's the cheapest fares from lax to sfo for round trip flights leaving april 1st and returning april 7th,book_flight,70
354,could you check and let me know roundtrip flights from dallas to houston for march 7 and march 20,book_flight,70
355,"i want to change your name, please",change_ai_name,71
356,i think bradley is a better name for you,change_ai_name,71
357,from now on i'm going to call you ishmael,change_ai_name,71
358,i will call you zander,change_ai_name,71
359,i'm going to start calling you alice,change_ai_name,71
360,this credit card's apr is what,apr,72
361,can you tell me the apr on my visa card,apr,72
362,review of my card apr,apr,72
363,what is the apr for the credit card,apr,72
364,it would be great if you could tell me my credit card's apr,apr,72
365,please find out if napolis takes lunch reservations,accept_reservations,73
366,does bar tartine in san francisco take reservations,accept_reservations,73
367,does buffalo wild wings take reservations,accept_reservations,73
368,does burger king accept reservations,accept_reservations,73
369,does gramercy tavern in new york accept reservations,accept_reservations,73
370,how does 10 pounds convert to euros,exchange_rate,74
371,i wanna know five dollars in yen and rubles,exchange_rate,74
372,tell me the exchange rate of dollars to yen,exchange_rate,74
373,what is the maximum dollars i can get for 6 yens,exchange_rate,74
374,what is the current going rate for exchanging dollars for pesos,exchange_rate,74
